scenario_name,board_size,scoring_mode,matches,agent_a_wins,agent_b_wins,draws,agent_a_win_rate,agent_b_win_rate,draw_rate,avg_turns,avg_total_passes,avg_time_per_match_seconds,avg_time_per_move_seconds,agent_a_avg_move_time_seconds,agent_b_avg_move_time_seconds,agent_a_avg_score,agent_b_avg_score,avg_score_margin_for_a,avg_normalized_score_margin_for_a,agent_a_avg_nodes_expanded_per_move,agent_b_avg_nodes_expanded_per_move,agent_a_avg_alpha_beta_prunes_per_move,agent_b_avg_alpha_beta_prunes_per_move,agent_a_avg_mcts_simulations_per_move,agent_b_avg_mcts_simulations_per_move,agent_a_avg_mcts_nodes_created_per_move,agent_b_avg_mcts_nodes_created_per_move,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_aggressive,6,standard,8,0,8,0,0.0,1.0,0.0,35.5,3.5,6.08554350000486,0.17142376056351719,0.18244290571476865,0.1599779819456065,6.5,29.5,-23.0,-0.6388888888888888,124.94285714285714,110.30555555555556,33.31428571428572,33.611111111111114,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=aggressive],4,aggressive,True,,1.41421356237,random,lightweight,3,
mcts_random_vs_rollout_simple,6,standard,8,0,7,1,0.0,0.875,0.125,32.875,1.0,213.10921301250346,6.4824095212928805,2.9165520435085837,10.020552935605476,9.375,26.5,-17.125,-0.476984126984127,0.0,0.0,0.0,0.0,500.0,500.0,403.5267175572519,407.3636363636364,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
mcts_rollout_simple_vs_rollout_successor_eval,6,standard,8,6,2,0,0.75,0.25,0.0,32.875,0.875,133.64432243750707,4.065226538023029,3.731351006107817,4.396302421969736,22.5,13.5,9.0,0.25000000000000006,0.0,0.0,0.0,0.0,500.0,500.0,410.618320610687,405.27272727272725,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
mcts_rollout_successor_eval_vs_rollout_topk,6,standard,8,5,2,1,0.625,0.25,0.125,32.375,1.0,147.95505427499666,4.570040286486384,4.470044545385798,4.670533432556197,19.875,15.5,4.375,0.1310763888888889,0.0,0.0,0.0,0.0,500.0,500.0,415.8538461538462,417.48837209302326,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
mcts_successor_eval_balanced_vs_aggressive,6,standard,8,1,6,1,0.125,0.75,0.125,32.75,0.75,135.35750275000464,4.133053519084111,4.1236738290056545,4.142166742749063,16.375,19.625,-3.25,-0.09027777777777779,0.0,0.0,0.0,0.0,500.0,500.0,397.9618320610687,402.1145038167939,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=balanced|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,balanced,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=aggressive|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,aggressive,3,
minimax_balanced_vs_mcts_random,6,weighted,8,5,3,0,0.625,0.375,0.0,32.375,1.0,18.80284993749956,0.5807830096524961,0.07337656461571057,1.091850069765942,42.625,19.75,22.875,0.3802671370967742,143.62307692307692,0.0,50.8,0.0,0.0,500.0,0.0,413.94573643410854,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,6,weighted,8,6,2,0,0.75,0.25,0.0,33.25,1.625,60.07082918749438,1.8066414793231393,0.07528462537317607,3.5639562704547476,42.0,21.5,20.5,0.3261388728878648,142.91044776119404,0.0,45.701492537313435,0.0,0.0,500.0,0.0,402.219696969697,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,6,weighted,8,7,1,0,0.875,0.125,0.0,32.875,1.0,70.91070543749811,2.1569796330797906,0.06889455114604144,4.228975981061398,47.25,16.5,30.75,0.484375,136.8854961832061,0.0,40.02290076335878,0.0,0.0,500.0,0.0,403.47727272727275,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,6,weighted,8,3,5,0,0.375,0.625,0.0,33.125,1.125,73.70805811249738,2.225148924150864,0.06840298270598348,4.397966491667885,33.375,30.625,2.75,0.04296875,133.74436090225564,0.0,40.18045112781955,0.0,0.0,500.0,0.0,412.5984848484849,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,6,weighted,8,4,4,0,0.5,0.5,0.0,33.0,1.0,1.3970314875041367,0.042334287500125356,0.02205980303066705,0.06235079848468586,34.0,30.0,4.0,0.0625,50.666666666666664,120.93939393939394,8.545454545454545,34.06060606060606,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,6,weighted,8,4,4,0,0.5,0.5,0.0,34.0,2.5,3.7539944625059434,0.1104116018384101,0.05193324191136258,0.16862777941252502,25.0,37.0,-12.0,-0.20416666666666666,113.05882352941177,405.20588235294116,21.11764705882353,67.17647058823529,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,6,weighted,8,4,4,0,0.5,0.5,0.0,32.5,0.5,2.867790125001193,0.08823969615388286,0.01871146893862522,0.15967714296652957,43.0,21.0,22.0,0.34375,41.90909090909091,365.125,9.0,69.3125,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,6,weighted,8,2,6,0,0.25,0.75,0.0,32.625,0.625,21.46566553750381,0.6579514340997337,0.22894347461652403,1.0834178267182775,21.75,42.25,-20.5,-0.3203125,0.0,0.0,0.0,0.0,100.0,500.0,87.76923076923077,411.59541984732823,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
